,issueNumber,title,description,FIGDiagnostic,labels,dateMade
425,425,Fig is override the iterm smart history navigation (using the up arrow),"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
Issue Details
Description:
Iterm have this feature - When start typing in Iterm, and then look for history using the UP arrow it will only show history starting with the text typed. (e.g typing ""fig"" and pressing the UP arrow will navigate through commands in history that start with ""fig"" - like ""fig --help"", ""fig source"" and so on depends on the history).
The issue is that when using Fig on Iterm and pressing UP, the typed text is ignored and the action in cycling through recent history chronological without filtering.
I've looked a little and it seems that while using Fig I can get a similar, but more complex, action using typing and hitting ctrl+R (shows popup with history relevant to the text) - But I'm looking for the simple UP arrow functionality defaulted for Iterm.
Environment
Version 1.0.47 (B257) [ABC]
UserShell: /bin/zsh
Bundle path: /Applications/Fig.app
Autocomplete: true
Settings.json: true
CLI installed: true
CLI tool path: /Users/nbrisk/.fig/bin/fig
Accessibility: true
Number of specs: 188
SSH Integration: false
Tmux Integration: true
Keybindings path: /Users/nbrisk/.fig/user/keybindings
iTerm Integration: true [Authenticated]
Hyper Integration: false
VSCode Integration: true
Docker Integration: true
Symlinked dotfiles: false
Only insert on tab: false
Installation Script: true
PseudoTerminal Path: /Users/nbrisk/.jenv/shims:/Users/nbrisk/.jenv/bin:/Library/Frameworks/Python.framework/Versions/3.8/bin:/Users/nbrisk/.nvm/versions/node/v6.17.1/bin:/opt/apache-maven-3.5.4/bin:/opt/local/bin:/usr/local/bin:/bin:/sbin:/usr/bin:/usr/sbin:/usr/libexec:/opt/local/sbin:~/work/akamai/bin:/usr/local/bin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/usr/local/munki:/Library/Apple/usr/bin:/Users/nbrisk/.fig/bin:/Applications/Visual Studio Code.app/Contents/Resources/app/bin:/usr/local/opt/fzf/bin
SecureKeyboardInput: false
SecureKeyboardProcess: <none>
Current active process: ??? (???) - ???
Current working directory: ???
Current window identifier: ???
PATH: /Users/nbrisk/.jenv/shims:/Users/nbrisk/.jenv/bin:/Library/Frameworks/Python.framework/Versions/3.8/bin:/Users/nbrisk/.nvm/versions/node/v6.17.1/bin:/opt/apache-maven-3.5.4/bin:/opt/local/bin:/usr/local/bin:/bin:/sbin:/usr/bin:/usr/sbin:/usr/libexec:/opt/local/sbin:~/work/akamai/bin:/usr/local/bin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/usr/local/munki:/Library/Apple/usr/bin:/Users/nbrisk/.fig/bin:/Applications/Visual Studio Code.app/Contents/Resources/app/bin:/usr/local/opt/fzf/bin
FIG_INTEGRATION_VERSION: 4",No Fig Diagnostic Found,"['codebase:shell-integrations', 'shell:zsh', 'type:bug']","Sep 2, 2021, 1:34 AM PDT"
426,426,git merge doesn't completely work with fish,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Hi, I have tried to use a git merge command and got this output:
⟩ git merge my_branch                                                                                     12:45:29
functions: Function 'fish_prompt' already exists. Cannot create copy 'fig_user_prompt'
~/.config/fish/conf.d/99_fig_post.fish (line 68): 
    function fig_copy_fn; functions -e $argv[2]; functions -c $argv[1] $argv[2]; end
                                                 ^
in function 'fig_copy_fn'
        called on line 108 of file ~/.config/fish/conf.d/99_fig_post.fish
        with parameter list 'fig_user_prompt fish_prompt'

in function 'fig_preexec'
        called on standard input
        with parameter list 'git merge staging'

in event handler: handler for generic event 'fish_preexec'


       functions - print or erase functions

   Synopsis
       functions [ -a | --all ] [ -n | --names ]
       functions [ -D | --details ] [ -v ] FUNCTION
       functions -c OLDNAME NEWNAME
       functions -d DESCRIPTION FUNCTION
       functions [ -e | -q ] FUNCTIONS...

functions: Type 'help functions' for related documentation

Already up to date.
Details:
macOS Fig Shell
10.15.7 Version 1.0.47 (B257) /bin/bash
fig diagnostic",No Fig Diagnostic Found,"['codebase:shell-integrations', 'shell:fish', 'type:bug']","Sep 2, 2021, 3:47 AM PDT"
427,427,Autocomplete options outputting ' and (,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
The autocomplete has suddenly started putting in ' and ( instead of the actual values when pressing enter on the autocomplete menu.
The recording is self-explanatory: Filebin .mov recording
Details:
macOS Fig Shell
11.5.2 Version 1.0.47 (B257) /bin/zsh
fig diagnostic",,['None yet'],"Sep 2, 2021, 5:22 AM PDT"
428,428,Hitting Tab or Enter to autocomplete or run with Fig works incorrectly,"Screen.Recording.2021-09-02.at.8.24.57.AM.mov
Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Whenever I use Fig with iTerm2, the autocomplete shows up just fine but when I want to use it, hitting Enter or Tab just inserts some random character like ) or '
Details:
macOS Fig Shell
11.5.1 Version 1.0.47 (B257) /bin/zsh
fig diagnostic",,['None yet'],"Sep 2, 2021, 6:37 AM PDT"
429,429,Tabby (formerly Terminus) integration,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my feature
Feature Details
Description:
I use tabby as my terminal and would love for Fig to work with it.
https://github.com/Eugeny/tabby",No Fig Diagnostic Found,['type:integration-request'],"Sep 2, 2021, 1:13 PM PDT"
430,430,Need to run fig source for every shell session,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
Issue Details
Description:
Every time I open a new terminal window, tab, or pane, I need to run fig source for Fig to work.
Environment
Version 1.0.47 (B257) [U.S.]
UserShell: /bin/zsh
Bundle path: /Applications/Fig.app
Autocomplete: true
Settings.json: true
CLI installed: true
CLI tool path: /Users/maximekhoy/.fig/bin/fig
Accessibility: true
Number of specs: 190
SSH Integration: false
Tmux Integration: true
Keybindings path: /Users/maximekhoy/.fig/user/keybindings
iTerm Integration: true [Authenticated]
Hyper Integration: false
VSCode Integration: true
Docker Integration: true
Symlinked dotfiles: false
Only insert on tab: false
Installation Script: true
PseudoTerminal Path: /Users/maximekhoy/platform-tools:/Users/maximekhoy/.yarn/bin:/Users/maximekhoy/.config/yarn/global/node_modules/.bin:/Users/maximekhoy/.nvm/versions/node/v14.15.4/bin:/Users/maximekhoy/.cargo/bin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Library/Apple/usr/bin:/Library/Apple/bin:/opt/X11/bin:/Users/maximekhoy/.fig/bin:/usr/local/bin:/Users/maximekhoy/.deno/bin:/usr/local/bin/python3:/usr/local/opt/fzf/bin
SecureKeyboardInput: false
SecureKeyboardProcess: <none>
Current active process: /bin/zsh (10244) - ttys023
Current working directory: /Users/maximekhoy
Current window identifier: 540355/BD3B1856-79E8-46EF-B69C-18508DFFDCFD% (com.googlecode.iterm2)
PATH: /Users/maximekhoy/platform-tools:/Users/maximekhoy/.yarn/bin:/Users/maximekhoy/.config/yarn/global/node_modules/.bin:/Users/maximekhoy/.nvm/versions/node/v14.15.4/bin:/Users/maximekhoy/.cargo/bin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Library/Apple/usr/bin:/Library/Apple/bin:/opt/X11/bin:/Users/maximekhoy/.fig/bin:/usr/local/bin:/Users/maximekhoy/.deno/bin:/usr/local/bin/python3:/usr/local/opt/fzf/bin
FIG_INTEGRATION_VERSION: 4",No Fig Diagnostic Found,"['codebase:macos', 'type:bug']","Sep 2, 2021, 2:48 PM PDT"
431,431,"fig starts completing with quote, parens after a while","Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
Issue Details
Description:
(macOS Big Sur, MacBook Pro M1, iTerm2)
It doesn't happen immediately. At first everything seems to work. But then, after a certain amount of time, this behavior emerges:
https://s.tape.sh/8VDw1LL7
First command: I was trying to enter kubectl get -A, and pressed [Enter] -> got a quote (') instead
Second command: Same thing; this time I pressed [Tab] -> got a left parenthesis
Interestingly, if I exit, then launch iTerm again, things are back to normal. Not sure if Fig gets restarted at the same time?
Environment
Version 1.0.47 (B257) [U.S.] 
UserShell: /bin/zsh
Bundle path: /Applications/Fig.app
Autocomplete: true
Settings.json: true
CLI installed: true
CLI tool path: /Users/chris/.fig/bin/fig
Accessibility: true
Number of specs: 188
SSH Integration: false
Tmux Integration: true
Keybindings path: /Users/chris/.fig/user/keybindings
iTerm Integration: true [Authenticated]
Hyper Integration: false
VSCode Integration: true
Docker Integration: true
Symlinked dotfiles: false
Only insert on tab: false
Installation Script: true
PseudoTerminal Path: /Users/chris/.nix-profile/bin:/Users/chris/.nix-profile/bin:/Users/chris/.krew/bin:/Users/chris/.asdf/installs/rust/1.51.0/bin:/Users/chris/.asdf/shims:/Users/chris/.asdf/bin:/Users/chris/.opam/4.12.0/bin:/Users/chris/.local/bin:/home/linuxbrew/.linuxbrew/bin:~/bin/osx:/opt/homebrew/bin:/opt/homebrew/bin:/opt/homebrew/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Library/TeX/texbin:/usr/local/MacGPG2/bin:/usr/local/share/dotnet:/opt/X11/bin:~/.dotnet/tools:/Library/Apple/usr/bin:/Users/chris/.fig/bin:/Users/chris/Android/Sdk/emulator:/Users/chris/Android/Sdk/tools:/Users/chris/Android/Sdk/tools/bin:/Users/chris/Android/Sdk/platform-tools:/Users/chris/.nexustools
SecureKeyboardInput: false
SecureKeyboardProcess: <none>
Current active process: /bin/zsh (29790) - ttys001
Current working directory: /Users/chris
Current window identifier: 149790/% (com.googlecode.iterm2)
PATH: /Users/chris/.nix-profile/bin:/Users/chris/.nix-profile/bin:/Users/chris/.krew/bin:/Users/chris/.asdf/installs/rust/1.51.0/bin:/Users/chris/.asdf/shims:/Users/chris/.asdf/bin:/Users/chris/.opam/4.12.0/bin:/Users/chris/.local/bin:/home/linuxbrew/.linuxbrew/bin:~/bin/osx:/opt/homebrew/bin:/opt/homebrew/bin:/opt/homebrew/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Library/TeX/texbin:/usr/local/MacGPG2/bin:/usr/local/share/dotnet:/opt/X11/bin:~/.dotnet/tools:/Library/Apple/usr/bin:/Users/chris/.fig/bin:/Users/chris/Android/Sdk/emulator:/Users/chris/Android/Sdk/tools:/Users/chris/Android/Sdk/tools/bin:/Users/chris/Android/Sdk/platform-tools:/Users/chris/.nexustools
FIG_INTEGRATION_VERSION: 4",No Fig Diagnostic Found,['NEED_TO_LABEL'],"Sep 2, 2021, 2:49 PM PDT"
432,432,AppleScript Terminal scripts don't work with Fig,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
Issue Details
Description:
I have AppleScripts that open Terminal and execute a command.
If that command is to change directories, it will not work. Terminal will open but will not be in the correct directory.
If the command includes a cd + other command, then it will work.
Will work:
tell application ""Terminal""
 do script ""cd /Documents/My \\Directory && ./myScript.sh""
 activate
end tell
Won't work:
tell application ""Terminal""
 do script ""cd /Documents/My \\Directoryh""
 activate
end tell
Environment
N/A",No Fig Diagnostic Found,"['codebase:figterm', 'terminal:macOS', 'type:bug']","Sep 2, 2021, 3:26 PM PDT"
433,433,Fig pasting invalid input into tmux pane,"Description:
was using: tmux, neovim, starship prompt inside iTerm2
fig connected to the tmux session with a smaller screen, causing the effect in the image.
Also the command in the bottom left is partially not mine, I was trying to move a file and I guess fig added some suffix to this command
Details:
macOS Fig Shell
11.5.2 Version 1.0.47 (B257) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,"['codebase:macos', 'integration:tmux', 'type:bug']","Sep 3, 2021, 12:20 PM PDT"
434,434,No Title Found,"Brew version 3.2.10 was released 4 days ago (30 August 2021). Around this time, tons of Fig users started complaining that inserting suggestions using Fig's autocomplete wasn't working as expected. After several days of banging our heads against a wall, we finally put two and two together. We have pushed a temporary fix to all Fig users and have alerted the Homebrew team.
What's the brew bug?
In brew version 3.2.10, the brew install <formula> command alters your tty drivers (specific terminal settings) and does not turn them off. Namely it turns on the following: istrip, echonl, -imaxbel, ignbrk
You can verify this by running stty -a before and after running brew install
How does this affect Fig / my terminal?
Immediately after running brew install you will notice the following:
An extra line will be added after executing a command
Emojis and other non-7-bit ASCII characters won't display
If using Fig + zsh, inserting a suggestion results in just a ' or a ( character inserted as opposed to the suggestion. (see gif below)
Why? Fig binds a custom unicode character to the text to be inserted. Inserting this unicode character inserts the text. The istrip setting that brew install turns on breaks the insertion of any unicode char.
How do I know if this affects me?
Run brew --version.
If you are on version 3.2.10 it will likely affect you.
If you are on a lower version, it may still affect you. Brew defaults to updating version every time you run brew install. You can temporarily turn off auto-updates (see below).
How do I downgrade to brew version 3.2.9?
Fortunately, brew is entirely local
if [[ ""$(uname -m)"" == ""arm64"" ]]; then
    cd /opt/homebrew 
else
    cd /usr/local/Homebrew
fi

git fetch --tags
git checkout 3.2.9

brew --version
How do I disable auto-updates
Add the following to your .zshrc or .bashrc. Remember to remove this when you want to upgrade brew again.
export HOMEBREW_NO_AUTO_UPDATE=1
How do I get Fig working?
Make sure you are on Fig version 1.0.48
◧ > Check for Updates...
How do I upgrade to brew 3.2.11 when it's released?
brew update
[Optional], delete the export HOMEBREW_NO_AUTO_UPDATE=1 from your dotfiles
What is brew?
Brew is a package manager for macOS.
What is Fig?
Fig adds VSCode style autocomplete to your terminal.",No Fig Diagnostic Found,['Error Getting Details'],Publish Date Not Found
435,435,Directory sorting doesn't match unix ls default sort,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
Issue Details
Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Let's imagine this directory:
athenajs/
athenajs-documentation/
athenajs-gods/
Typing the cd at command would show this auto-complete list:
Notice how athenajs appears at the bottom of the list instead of being at the top.
This isn't intuitive. Note that changing the sort suggestions setting doesn't fix the problem.
Environment
Version 1.0.48 (B264) [Beta] [French]
UserShell: /bin/bash
Bundle path: /Applications/Fig.app
Autocomplete: true
Settings.json: true
CLI installed: true
CLI tool path: /Users/nico/.fig/bin/fig
Accessibility: true
Number of specs: 196
SSH Integration: false
Tmux Integration: true
Keybindings path: /Users/nico/.fig/user/keybindings
iTerm Integration: true [Authenticated]
Hyper Integration: false
VSCode Integration: true
Docker Integration: false
Symlinked dotfiles: false
Only insert on tab: false
Installation Script: true
PseudoTerminal Path: /Users/nico/.nvm/versions/node/v14.15.1/bin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Library/Apple/usr/bin:/Users/nico/.fig/bin:/usr/local/Cellar/qt/5.15.2/bin/
SecureKeyboardInput: false
SecureKeyboardProcess: <none>
Current active process: /bin/bash (73239) - ttys003
Current working directory: /Users/nico/Documents/Dev
Current window identifier: 2074/2DFC0877-5CA0-413C-8915-8F85E7FC7CB5% (com.googlecode.iterm2)
PATH: /Users/nico/.nvm/versions/node/v14.15.1/bin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Library/Apple/usr/bin:/Users/nico/.fig/bin:/usr/local/Cellar/qt/5.15.2/bin/
FIG_INTEGRATION_VERSION: 4",No Fig Diagnostic Found,"['codebase:autocomplete-app', 'codebase:mission-control']","Sep 4, 2021, 6:23 AM PDT"
